idxcell,idycell,idzcell,Temperature
1,1,1,295.0
1,2,1,295.19607843137254
1,3,1,295.3921568627451
1,4,1,295.5882352941176
1,5,1,295.7843137254902
1,6,1,295.98039215686276
1,7,1,296.1764705882353
1,8,1,296.37254901960785
1,9,1,296.5686274509804
1,10,1,296.7647058823529
1,11,1,296.96078431372547
1,12,1,297.15686274509807
1,13,1,297.3529411764706
1,14,1,297.54901960784315
1,15,1,297.7450980392157
1,16,1,297.94117647058823
1,17,1,298.1372549019608
1,18,1,298.3333333333333
1,19,1,298.52941176470586
1,20,1,298.72549019607845
1,21,1,298.921568627451
1,22,1,299.11764705882354
1,23,1,299.3137254901961
1,24,1,299.5098039215686
1,25,1,299.70588235294116
1,26,1,299.9019607843137
1,27,1,300.0980392156863
1,28,1,300.29411764705884
1,29,1,300.4901960784314
1,30,1,300.6862745098039
1,31,1,300.88235294117646
1,32,1,301.078431372549
1,33,1,301.27450980392155
1,34,1,301.47058823529414
1,35,1,301.6666666666667
1,36,1,301.8627450980392
1,37,1,302.05882352941177
1,38,1,302.2549019607843
1,39,1,302.45098039215685
1,40,1,302.6470588235294
1,41,1,302.84313725490193
1,42,1,303.03921568627453
1,43,1,303.2352941176471
1,44,1,303.4313725490196
1,45,1,303.62745098039215
1,46,1,303.8235294117647
1,47,1,304.01960784313724
1,48,1,304.2156862745098
1,49,1,304.4117647058824
1,50,1,304.6078431372549
1,51,1,304.80392156862746
1,52,1,305.0
