label,sweep_param,param_value,T_K,kappa_p_W_mK
TiN,A_U,1.7782794100389227e-45,500,4.619655713591973
TiN,A_U,3.162277660168379e-45,200,4.094091050844041
TiN,A_U,3.162277660168379e-45,300,4.423606453712062
TiN,A_U,3.162277660168379e-45,400,4.55530227043621
TiN,A_U,3.162277660168379e-45,500,4.619655713591973
TiN,A_U,5.623413251903491e-45,200,4.094091050844041
TiN,A_U,5.623413251903491e-45,300,4.423606453712062
TiN,A_U,5.623413251903491e-45,400,4.55530227043621
TiN,A_U,5.623413251903491e-45,500,4.619655713591973
TiN,A_U,1e-44,200,4.094091050844041
TiN,A_U,1e-44,300,4.423606453712062
TiN,A_U,1e-44,400,4.55530227043621
TiN,A_U,1e-44,500,4.619655713591973
TiN,A_U,1.7782794100389228e-44,200,4.094091050844041
TiN,A_U,1.7782794100389228e-44,300,4.423606453712062
TiN,A_U,1.7782794100389228e-44,400,4.55530227043621
TiN,A_U,1.7782794100389228e-44,500,4.619655713591973
TiN,A_U,3.162277660168379e-44,200,4.094091050844041
TiN,A_U,3.162277660168379e-44,300,4.423606453712062
TiN,A_U,3.162277660168379e-44,400,4.55530227043621
TiN,A_U,3.162277660168379e-44,500,4.619655713591973
TiN,A_U,5.623413251903491e-44,200,4.094091050844041
TiN,A_U,5.623413251903491e-44,300,4.423606453712062
TiN,A_U,5.623413251903491e-44,400,4.55530227043621
TiN,A_U,5.623413251903491e-44,500,4.619655713591973
TiN,A_U,1e-43,200,4.094091050844041
TiN,A_U,1e-43,300,4.423606453712062
TiN,A_U,1e-43,400,4.55530227043621
TiN,A_U,1e-43,500,4.619655713591973
TiN,A_U,1.7782794100389228e-43,200,4.094091050844041
TiN,A_U,1.7782794100389228e-43,300,4.423606453712062
TiN,A_U,1.7782794100389228e-43,400,4.55530227043621
TiN,A_U,1.7782794100389228e-43,500,4.619655713591973
TiN,A_U,3.162277660168379e-43,200,4.094091050844041
TiN,A_U,3.162277660168379e-43,300,4.423606453712062
TiN,A_U,3.162277660168379e-43,400,4.55530227043621
TiN,A_U,3.162277660168379e-43,500,4.619655713591973
TiN,A_U,5.623413251903491e-43,200,4.094091050844041
TiN,A_U,5.623413251903491e-43,300,4.423606453712062
TiN,A_U,5.623413251903491e-43,400,4.55530227043621
TiN,A_U,5.623413251903491e-43,500,4.619655713591973
