idxcell,idycell,idzcell,Temperature
1,1,1,295.0
1,2,1,295.14084507042253
1,3,1,295.28169014084506
1,4,1,295.4225352112676
1,5,1,295.5633802816901
1,6,1,295.7042253521127
1,7,1,295.84507042253523
1,8,1,295.98591549295776
1,9,1,296.1267605633803
1,10,1,296.2676056338028
1,11,1,296.40845070422534
1,12,1,296.5492957746479
1,13,1,296.6901408450704
1,14,1,296.83098591549293
1,15,1,296.9718309859155
1,16,1,297.11267605633805
1,17,1,297.2535211267606
1,18,1,297.3943661971831
1,19,1,297.53521126760563
1,20,1,297.67605633802816
1,21,1,297.8169014084507
1,22,1,297.9577464788732
1,23,1,298.09859154929575
1,24,1,298.23943661971833
1,25,1,298.38028169014086
1,26,1,298.5211267605634
1,27,1,298.6619718309859
1,28,1,298.80281690140845
1,29,1,298.943661971831
1,30,1,299.0845070422535
1,31,1,299.22535211267603
1,32,1,299.3661971830986
1,33,1,299.50704225352115
1,34,1,299.6478873239437
1,35,1,299.7887323943662
1,36,1,299.92957746478874
1,37,1,300.07042253521126
1,38,1,300.2112676056338
1,39,1,300.3521126760563
1,40,1,300.49295774647885
1,41,1,300.6338028169014
1,42,1,300.77464788732397
1,43,1,300.9154929577465
1,44,1,301.056338028169
1,45,1,301.19718309859155
1,46,1,301.3380281690141
1,47,1,301.4788732394366
1,48,1,301.61971830985914
1,49,1,301.76056338028167
1,50,1,301.90140845070425
1,51,1,302.0422535211268
1,52,1,302.1830985915493
1,53,1,302.32394366197184
1,54,1,302.46478873239437
1,55,1,302.6056338028169
1,56,1,302.7464788732394
1,57,1,302.88732394366195
1,58,1,303.0281690140845
1,59,1,303.16901408450707
1,60,1,303.3098591549296
1,61,1,303.4507042253521
1,62,1,303.59154929577466
1,63,1,303.7323943661972
1,64,1,303.8732394366197
1,65,1,304.01408450704224
1,66,1,304.15492957746477
1,67,1,304.2957746478873
1,68,1,304.4366197183099
1,69,1,304.5774647887324
1,70,1,304.71830985915494
1,71,1,304.85915492957747
1,72,1,305.0
