idxcell,idycell,idzcell,Temperature
1,1,1,297.5
1,2,1,297.67241379310343
1,3,1,297.8448275862069
1,4,1,298.01724137931035
1,5,1,298.1896551724138
1,6,1,298.36206896551727
1,7,1,298.5344827586207
1,8,1,298.7068965517241
1,9,1,298.87931034482756
1,10,1,299.05172413793105
1,11,1,299.2241379310345
1,12,1,299.3965517241379
1,13,1,299.5689655172414
1,14,1,299.7413793103448
1,15,1,299.91379310344826
1,16,1,300.08620689655174
1,17,1,300.2586206896552
1,18,1,300.4310344827586
1,19,1,300.6034482758621
1,20,1,300.7758620689655
1,21,1,300.94827586206895
1,22,1,301.12068965517244
1,23,1,301.2931034482759
1,24,1,301.4655172413793
1,25,1,301.63793103448273
1,26,1,301.8103448275862
1,27,1,301.98275862068965
1,28,1,302.1551724137931
1,29,1,302.32758620689657
1,30,1,302.5
