idxcell,idycell,idzcell,Tinit
6,21,1,321.47230035525
7,21,1,319.5043973455
1,22,1,329.230505117
2,22,1,329.68076278025
3,22,1,329.7589918155
4,22,1,328.37659170725
5,22,1,325.74823910774995
6,22,1,321.837646587
7,22,1,319.5450351855
1,23,1,329.381794241
2,23,1,330.23813779299996
3,23,1,330.784962899
4,23,1,329.449592218
5,23,1,326.69537060174997
6,23,1,322.282247042
7,23,1,319.5974928635
1,24,1,329.53429051750004
2,24,1,330.751251523
3,24,1,331.72406475975004
4,24,1,330.47823693500004
5,24,1,327.72567115975
6,24,1,323.09947482625
7,24,1,320.224164212
1,25,1,329.6503269395
2,25,1,331.025904213
3,25,1,332.34955193425
4,25,1,331.38201037399995
5,25,1,328.7665167165
6,25,1,324.392748892
7,25,1,321.718862717
1,26,1,329.73385736700004
2,26,1,331.11500294075
3,26,1,332.6397749895
4,26,1,332.0136043265
5,26,1,329.66304274125
6,26,1,325.62358414274996
7,26,1,323.1648899915
1,27,1,329.807665778
2,27,1,331.15163351375
3,27,1,332.760778288
4,27,1,332.4101654945
5,27,1,330.3389026815
6,27,1,326.49129310825003
7,27,1,324.099156516
1,28,1,329.875787696
2,28,1,331.182110782
3,28,1,332.84172295049996
4,28,1,332.6799506915
5,28,1,330.794515833
6,28,1,327.09240686225
7,28,1,324.7606714085
1,29,1,330.0638684265
2,29,1,331.27965523225
3,29,1,332.88493531325
4,29,1,332.82163694325
5,29,1,331.06279067649996
6,29,1,327.611120971
7,29,1,325.465505887
1,30,1,330.49933762399996
2,30,1,331.498792094
3,30,1,332.899715137
4,30,1,332.88438080199995
5,30,1,331.20926059475
6,30,1,328.0857247175
7,30,1,326.2205061395
1,31,1,330.9399156465
2,31,1,331.71833106225
3,31,1,332.89873575025
4,31,1,332.90295312599994
5,31,1,331.28097065599997
6,31,1,328.27911067825
7,31,1,326.501461274
1,32,1,330.603548673
2,32,1,331.5531854655
3,32,1,332.896177777
4,32,1,332.9014992375
5,32,1,331.3160616192499
6,32,1,328.19272702675
7,32,1,326.26679599399995
1,33,1,330.1235418155
2,33,1,331.31859108025
3,33,1,332.898188882
4,33,1,332.89983585875
5,33,1,331.34221961825
6,33,1,328.15522514475
7,33,1,326.1429453515
1,34,1,330.154046765
2,34,1,331.34218784975
3,34,1,332.91209350275
4,34,1,332.91475155375
5,34,1,331.37853919625
6,34,1,328.24483613800004
7,34,1,326.26823892000004
1,35,1,330.1779079955
2,35,1,331.3672297925
3,35,1,332.94303149949997
4,35,1,332.95539603725
5,35,1,331.43570142375
6,35,1,328.3352326235
7,35,1,326.38034306450004
1,36,1,330.195061516
2,36,1,331.39355154975
3,36,1,332.990501496
4,36,1,333.02418506075
5,36,1,331.520212781
6,36,1,328.49703251475
7,36,1,326.6130481805
1,37,1,330.2065337245
2,37,1,331.42034057175
3,37,1,333.0519126445
4,37,1,333.11787887975
5,37,1,331.631462888
6,37,1,328.76202899725
7,37,1,327.027212108
1,38,1,330.21363886250003
2,38,1,331.44665908449997
3,38,1,333.12385959225
4,38,1,333.23248006075
5,38,1,331.764822991
6,38,1,328.8172409025
7,38,1,327.0017560665
1,39,1,330.214650162
2,39,1,331.47132132925003
3,39,1,333.20306282375003
4,39,1,333.36107855600005
5,39,1,331.91157959525003
6,39,1,328.78216436875
7,39,1,326.785193508
1,40,1,330.20834565049995
2,40,1,331.49249824575
3,40,1,333.28622839125
4,40,1,333.498859998
5,40,1,332.06481210799996
6,40,1,328.89662029425
7,40,1,326.86553042699995
1,41,1,330.19508793299997
2,41,1,331.5092892045
3,41,1,333.37139273225
4,41,1,333.641239844
5,41,1,332.219016029
6,41,1,329.0017557955
7,41,1,326.92866423249995
1,42,1,330.17412982350004
2,42,1,331.51954532599996
3,42,1,333.45032909150007
4,42,1,333.77784394925
5,42,1,332.36697652825
6,42,1,329.0901541165
7,42,1,326.9663457205
1,43,1,330.14675418549996
2,43,1,331.52166262175
3,43,1,333.51721152125003
4,43,1,333.90158654725
5,43,1,332.4981186825
6,43,1,329.153740426
7,43,1,326.976564597
1,44,1,330.1133974445
2,44,1,331.51640853074997
3,44,1,333.57647567375
4,44,1,334.0084326475
5,44,1,332.59692141225
6,44,1,329.1780963535
7,44,1,326.94568344699996
1,45,1,330.0727986805
2,45,1,331.50196864599997
3,45,1,333.6174817315
4,45,1,334.082793379
5,45,1,332.65003817775
6,45,1,329.1459908395
