idxcell,idycell,idzcell,x_center_um,y_center_um,z_center_um,region_type,temperature_K,cell_volume_um3
1,12,1,0.005,0.031,0.005,X-,328.29080401,2.000000000000002e-07
2,12,1,0.011,0.031,0.005,Z-,327.456072162,4.000000000000004e-08
3,12,1,0.013000000000000001,0.031,0.005,Z-,325.76313448275005,4.000000000000004e-08
4,12,1,0.015,0.031,0.005,Z-,324.0069288925,4.000000000000004e-08
5,12,1,0.017,0.031,0.005,Z-,322.16726871225,4e-08
6,12,1,0.019,0.031,0.005,Z-,320.2574386435,4.0000000000000074e-08
7,12,1,0.025,0.031,0.005,X+,319.28926899600003,2.0000000000000015e-07
1,13,1,0.005,0.033,0.005,X-,328.35237906550003,2.000000000000002e-07
2,13,1,0.011,0.033,0.005,Z-,327.536104194,4.000000000000004e-08
3,13,1,0.013000000000000001,0.033,0.005,Z-,325.8685476765,4.000000000000004e-08
4,13,1,0.015,0.033,0.005,Z-,324.1158525335,4.000000000000004e-08
5,13,1,0.017,0.033,0.005,Z-,322.255771686,4e-08
6,13,1,0.019,0.033,0.005,Z-,320.30093545324996,4.0000000000000074e-08
7,13,1,0.025,0.033,0.005,X+,319.30476657099996,2.0000000000000015e-07
1,14,1,0.005,0.035,0.005,X-,328.4200999995,1.999999999999995e-07
2,14,1,0.011,0.035,0.005,Z-,327.63406381724997,3.9999999999999895e-08
3,14,1,0.013000000000000001,0.035,0.005,Z-,326.0069975402499,3.9999999999999895e-08
4,14,1,0.015,0.035,0.005,Z-,324.25949369550005,3.9999999999999895e-08
5,14,1,0.017,0.035,0.005,Z-,322.37143892100005,3.999999999999986e-08
6,14,1,0.019,0.035,0.005,Z-,320.3558825155,3.999999999999993e-08
7,14,1,0.025,0.035,0.005,X+,319.32190713449995,1.9999999999999944e-07
1,15,1,0.005,0.037,0.005,X-,328.494390292,2.000000000000002e-07
2,15,1,0.011,0.037,0.005,Z-,327.75258289525,4.000000000000004e-08
3,15,1,0.013000000000000001,0.037,0.005,Z-,326.187440723,4.000000000000004e-08
4,15,1,0.015,0.037,0.005,Z-,324.4498318005,4.000000000000004e-08
5,15,1,0.017,0.037,0.005,Z-,322.5222674665,4e-08
6,15,1,0.019,0.037,0.005,Z-,320.4248756015,4.0000000000000074e-08
