# Xmin Xmax Ymin Ymax Zmin Zmax P_W_m3
0.01 0.012 0.036 0.038 0.03 0.04 3.69898220172e+15
0.01 0.012 0.036 0.038 0.04 0.05 3.69898220172e+15
0.01 0.012 0.036 0.038 0.05 0.06 3.69898220172e+15
0.01 0.012 0.036 0.038 0.06 0.07 3.69898220172e+15
0.01 0.012 0.036 0.038 0.07 0.08 3.69898220172e+15
0.01 0.012 0.038 0.04 0.01 0.02 5.77926401568e+15
0.01 0.012 0.038 0.04 0.02 0.03 5.77926401568e+15
0.01 0.012 0.038 0.04 0.03 0.04 5.77926401568e+15
0.01 0.012 0.038 0.04 0.04 0.05 5.77926401568e+15
0.01 0.012 0.038 0.04 0.05 0.06 5.77926401568e+15
0.01 0.012 0.038 0.04 0.06 0.07 5.77926401568e+15
0.01 0.012 0.038 0.04 0.07 0.08 5.77926401568e+15
0.01 0.012 0.04 0.042 0.01 0.02 8.9826963194e+15
0.01 0.012 0.04 0.042 0.02 0.03 8.9826963194e+15
0.01 0.012 0.04 0.042 0.03 0.04 8.9826963194e+15
0.01 0.012 0.04 0.042 0.04 0.05 8.9826963194e+15
0.01 0.012 0.04 0.042 0.05 0.06 8.9826963194e+15
0.01 0.012 0.04 0.042 0.06 0.07 8.9826963194e+15
0.01 0.012 0.04 0.042 0.07 0.08 8.9826963194e+15
0.01 0.012 0.042 0.044 0.01 0.02 1.39653343898e+16
0.01 0.012 0.042 0.044 0.02 0.03 1.39653343898e+16
0.01 0.012 0.042 0.044 0.03 0.04 1.39653343898e+16
0.01 0.012 0.042 0.044 0.04 0.05 1.39653343898e+16
0.01 0.012 0.042 0.044 0.05 0.06 1.39653343898e+16
0.01 0.012 0.042 0.044 0.06 0.07 1.39653343898e+16
0.01 0.012 0.042 0.044 0.07 0.08 1.39653343898e+16
0.01 0.012 0.044 0.046 0.01 0.02 2.18106734959e+16
0.01 0.012 0.044 0.046 0.02 0.03 2.18106734959e+16
0.01 0.012 0.044 0.046 0.03 0.04 2.18106734959e+16
0.01 0.012 0.044 0.046 0.04 0.05 2.18106734959e+16
0.01 0.012 0.044 0.046 0.05 0.06 2.18106734959e+16
0.01 0.012 0.044 0.046 0.06 0.07 2.18106734959e+16
0.01 0.012 0.044 0.046 0.07 0.08 2.18106734959e+16
0.01 0.012 0.046 0.048 0.01 0.02 3.4502913249e+16
0.01 0.012 0.046 0.048 0.02 0.03 3.4502913249e+16
0.01 0.012 0.046 0.048 0.03 0.04 3.4502913249e+16
0.01 0.012 0.046 0.048 0.04 0.05 3.4502913249e+16
0.01 0.012 0.046 0.048 0.05 0.06 3.4502913249e+16
0.01 0.012 0.046 0.048 0.06 0.07 3.4502913249e+16
0.01 0.012 0.046 0.048 0.07 0.08 3.4502913249e+16
0.01 0.012 0.048 0.05 0.01 0.02 5.66199538714e+16
0.01 0.012 0.048 0.05 0.02 0.03 5.66199538714e+16
0.01 0.012 0.048 0.05 0.03 0.04 5.66199538714e+16
0.01 0.012 0.048 0.05 0.04 0.05 5.66199538714e+16
0.01 0.012 0.048 0.05 0.05 0.06 5.66199538714e+16
0.01 0.012 0.048 0.05 0.06 0.07 5.66199538714e+16
0.01 0.012 0.048 0.05 0.07 0.08 5.66199538714e+16
0.01 0.012 0.05 0.052 0.01 0.02 1.00905694738e+17
0.01 0.012 0.05 0.052 0.02 0.03 1.00905694738e+17
0.01 0.012 0.05 0.052 0.03 0.04 1.00905694738e+17
0.01 0.012 0.05 0.052 0.04 0.05 1.00905694738e+17
0.01 0.012 0.05 0.052 0.05 0.06 1.00905694738e+17
0.01 0.012 0.05 0.052 0.06 0.07 1.00905694738e+17
0.01 0.012 0.05 0.052 0.07 0.08 1.00905694738e+17
0.01 0.012 0.052 0.054 0.01 0.02 2.22490989146e+17
0.01 0.012 0.052 0.054 0.02 0.03 2.22490989146e+17
0.01 0.012 0.052 0.054 0.03 0.04 2.22490989146e+17
0.01 0.012 0.052 0.054 0.04 0.05 2.22490989146e+17
0.01 0.012 0.052 0.054 0.05 0.06 2.22490989146e+17
0.01 0.012 0.052 0.054 0.06 0.07 2.22490989146e+17
0.01 0.012 0.052 0.054 0.07 0.08 2.22490989146e+17
0.01 0.012 0.054 0.056 0.01 0.02 6.89277048553e+17
0.01 0.012 0.054 0.056 0.02 0.03 6.89277048553e+17
0.01 0.012 0.054 0.056 0.03 0.04 6.89277048553e+17
0.01 0.012 0.054 0.056 0.04 0.05 6.89277048553e+17
0.01 0.012 0.054 0.056 0.05 0.06 6.89277048553e+17
0.01 0.012 0.054 0.056 0.06 0.07 6.89277048553e+17
0.01 0.012 0.054 0.056 0.07 0.08 6.89277048553e+17
0.01 0.012 0.056 0.058 0.01 0.02 3.24548857984e+17
