# X Y Z T_K
0.01 0.054 0.02 330.094512126
0.01 0.054 0.03 329.451389198
0.01 0.054 0.04 329.454593631
0.01 0.054 0.05 329.445915044
0.01 0.054 0.06 329.442093371
0.01 0.054 0.07 329.446719419
0.01 0.054 0.08 329.446114476
0.01 0.056 0.01 329.605064884
0.01 0.056 0.02 329.598657043
0.01 0.056 0.03 329.595330876
0.01 0.056 0.04 329.597581885
0.01 0.056 0.05 329.588395313
0.01 0.056 0.06 329.585731227
0.01 0.056 0.07 329.58990654
0.01 0.056 0.08 329.587266483
0.01 0.058 0.01 329.695588995
0.01 0.058 0.02 329.690621374
0.01 0.058 0.03 329.688890437
0.01 0.058 0.04 329.686936617
0.01 0.058 0.05 329.683736029
0.01 0.058 0.06 329.684085278
0.01 0.058 0.07 329.685825659
0.01 0.058 0.08 329.685416515
0.01 0.06 0.01 329.772125739
0.01 0.06 0.02 329.769324613
0.01 0.06 0.03 329.767985602
0.01 0.06 0.04 329.76500829
0.01 0.06 0.05 329.762242727
0.01 0.06 0.06 329.764434446
0.01 0.06 0.07 329.764232804
0.01 0.06 0.08 329.763643908
0.01 0.062 0.01 329.843205817
0.01 0.062 0.02 329.841073571
0.01 0.062 0.03 329.83983104
0.01 0.062 0.04 329.837138805
0.01 0.062 0.05 329.834837416
0.01 0.062 0.06 329.836967498
0.01 0.062 0.07 329.836296014
0.01 0.062 0.08 330.408403676
0.01 0.064 0.01 329.908369575
0.01 0.064 0.02 329.906171131
0.01 0.064 0.03 329.90524579
0.01 0.064 0.04 329.902970058
0.01 0.064 0.05 329.901346181
0.01 0.064 0.06 329.902500402
0.01 0.064 0.07 329.902463477
0.01 0.064 0.08 330.857498978
0.01 0.066 0.01 330.219367278
0.01 0.066 0.02 329.96560436
0.01 0.066 0.03 329.964404222
0.01 0.066 0.04 329.963250552
0.01 0.066 0.05 329.962005333
0.01 0.066 0.06 329.9623132
0.01 0.066 0.07 329.962962731
0.01 0.066 0.08 329.963016164
0.01 0.068 0.01 330.77930797
