# X Y Z T_K
0.012 0.05 0.07 329.67289271
0.012 0.05 0.08 329.642393749
0.012 0.052 0.01 330.568028865
0.012 0.052 0.02 330.679597553
0.012 0.052 0.03 330.576644899
0.012 0.052 0.04 330.671638512
0.012 0.052 0.05 330.669198639
0.012 0.052 0.06 330.700181125
0.012 0.052 0.07 330.538999261
0.012 0.052 0.08 330.528407139
0.012 0.054 0.01 331.620933825
0.012 0.054 0.02 331.546738849
0.012 0.054 0.03 331.644476594
0.012 0.054 0.04 331.68546011
0.012 0.054 0.05 331.708271494
0.012 0.054 0.06 331.736673612
0.012 0.054 0.07 331.601130519
0.012 0.054 0.08 331.564655666
0.012 0.056 0.01 332.315491232
0.012 0.056 0.02 332.287609102
0.012 0.056 0.03 332.212127271
0.012 0.056 0.04 332.26327991
0.012 0.056 0.05 332.318031547
0.012 0.056 0.06 332.35875655
0.012 0.056 0.07 332.26565671
0.012 0.056 0.08 332.31013804
0.012 0.058 0.01 332.487471741
0.012 0.058 0.02 332.491407542
0.012 0.058 0.03 332.533601581
0.012 0.058 0.04 332.422829859
0.012 0.058 0.05 332.55621008
0.012 0.058 0.06 332.426285099
0.012 0.058 0.07 332.548302935
0.012 0.058 0.08 332.475039374
0.012 0.06 0.01 332.504825288
0.012 0.06 0.02 332.562028359
0.012 0.06 0.03 332.444268789
0.012 0.06 0.04 332.384503672
0.012 0.06 0.05 332.519601711
0.012 0.06 0.06 332.513302932
0.012 0.06 0.07 332.51708139
0.012 0.06 0.08 332.476660104
0.012 0.062 0.01 332.486377211
0.012 0.062 0.02 332.539502775
0.012 0.062 0.03 332.486689727
0.012 0.062 0.04 332.543996158
0.012 0.062 0.05 332.506453943
0.012 0.062 0.06 332.537978984
0.012 0.062 0.07 332.492855525
0.012 0.062 0.08 332.459482222
0.012 0.064 0.01 332.490490525
0.012 0.064 0.02 332.5089986
0.012 0.064 0.03 332.508683241
0.012 0.064 0.04 332.483602396
0.012 0.064 0.05 332.467947531
0.012 0.064 0.06 332.538093737
0.012 0.064 0.07 332.506853899
0.012 0.064 0.08 332.469390473
0.012 0.066 0.01 332.500393551
0.012 0.066 0.02 332.4896972
0.012 0.066 0.03 332.567937349
0.012 0.066 0.04 332.481100543
0.012 0.066 0.05 332.488600424
0.012 0.066 0.06 332.506311738
0.012 0.066 0.07 332.501477663
0.012 0.066 0.08 332.47883442
0.012 0.068 0.01 332.496099577
0.012 0.068 0.02 332.508105041
0.012 0.068 0.03 332.56529444
0.012 0.068 0.04 332.533826894
0.012 0.068 0.05 332.514488436
0.012 0.068 0.06 332.429558963
0.012 0.068 0.07 332.520687855
0.012 0.068 0.08 332.487289718
0.012 0.07 0.01 332.497393379
0.012 0.07 0.02 332.535602192
0.012 0.07 0.03 332.514000558
0.012 0.07 0.04 332.511680777
0.012 0.07 0.05 332.558757448
0.012 0.07 0.06 332.505759693
0.012 0.07 0.07 332.535299007
0.012 0.07 0.08 332.494623911
0.012 0.072 0.01 332.508251137
0.012 0.072 0.02 332.522773443
0.012 0.072 0.03 332.516773405
0.012 0.072 0.04 332.554999222
0.012 0.072 0.05 332.496024742
0.012 0.072 0.06 332.577699276
0.012 0.072 0.07 332.449517785
0.012 0.072 0.08 332.500652618
0.012 0.074 0.01 332.519029553
0.012 0.074 0.02 332.537499587
0.012 0.074 0.03 332.553079076
0.012 0.074 0.04 332.54845186
0.012 0.074 0.05 332.544988983
0.012 0.074 0.06 332.457303955
0.012 0.074 0.07 332.519141293
0.012 0.074 0.08 332.512955396
0.012 0.076 0.01 332.541628316
0.012 0.076 0.02 332.599927006
0.012 0.076 0.03 332.533280503
0.012 0.076 0.04 332.596348555
0.012 0.076 0.05 332.567454404
0.012 0.076 0.06 332.550635164
0.012 0.076 0.07 332.593647644
0.012 0.076 0.08 332.53346717
0.012 0.078 0.01 332.571474863
0.012 0.078 0.02 332.530184621
0.012 0.078 0.03 332.58004371
0.012 0.078 0.04 332.487404107
0.012 0.078 0.05 332.596587434
0.012 0.078 0.06 332.575554235
0.012 0.078 0.07 332.540162177
0.012 0.078 0.08 332.561282888
0.012 0.08 0.01 332.612608304
0.012 0.08 0.02 332.656392007
0.012 0.08 0.03 332.57511002
0.012 0.08 0.04 332.646280761
0.012 0.08 0.05 332.625710715
0.012 0.08 0.06 332.602892884
0.012 0.08 0.07 332.613113081
0.012 0.08 0.08 332.596729783
0.012 0.082 0.01 332.655686534
0.012 0.082 0.02 332.66118044
0.012 0.082 0.03 332.697801281
0.012 0.082 0.04 332.702367134
0.012 0.082 0.05 332.662808083
0.012 0.082 0.06 332.625446265
0.012 0.082 0.07 332.580017048
0.012 0.082 0.08 332.641160316
0.012 0.084 0.01 332.703672079
0.012 0.084 0.02 332.692734861
0.012 0.084 0.03 332.778699186
0.012 0.084 0.04 332.764177403
0.012 0.084 0.05 332.725563526
0.012 0.084 0.06 332.756463449
0.012 0.084 0.07 332.703023577
0.012 0.084 0.08 332.690690398
0.012 0.086 0.01 332.752312914
0.012 0.086 0.02 332.799208635
0.012 0.086 0.03 332.735772653
0.012 0.086 0.04 332.749743168
0.012 0.086 0.05 332.805174313
0.012 0.086 0.06 332.79557553
0.012 0.086 0.07 332.790330685
0.012 0.086 0.08 332.745572973
0.012 0.088 0.01 332.800988768
0.012 0.088 0.02 332.8359566
0.012 0.088 0.03 332.810284982
0.012 0.088 0.04 332.773684886
0.012 0.088 0.05 332.825262634
0.012 0.088 0.06 332.786756542
0.012 0.088 0.07 332.803807136
0.012 0.088 0.08 332.797545673
0.012 0.09 0.01 332.845992184
0.012 0.09 0.02 332.861097823
0.012 0.09 0.03 332.857898929
0.012 0.09 0.04 332.842485423
0.012 0.09 0.05 332.840069523
0.012 0.09 0.06 332.841879508
0.012 0.09 0.07 332.82397331
0.012 0.09 0.08 332.845743776
0.012 0.092 0.01 332.883929473
0.012 0.092 0.02 332.927439312
0.012 0.092 0.03 332.911031129
0.012 0.092 0.04 332.878056633
0.012 0.092 0.05 332.943264703
0.012 0.092 0.06 332.83386864
0.012 0.092 0.07 332.857631792
0.012 0.092 0.08 332.883781353
0.012 0.094 0.01 332.909212643
0.012 0.094 0.02 332.951732593
0.012 0.094 0.03 332.8861616
0.012 0.094 0.04 332.920884114
0.012 0.094 0.05 332.989610522
0.012 0.094 0.06 332.939773175
0.012 0.094 0.07 332.922490888
0.012 0.094 0.08 332.912112554
0.012 0.096 0.01 332.929626591
0.012 0.096 0.02 332.930301182
0.012 0.096 0.03 332.968095507
0.012 0.096 0.04 332.993843167
0.012 0.096 0.05 332.953456341
0.012 0.096 0.06 332.935678139
0.012 0.096 0.07 332.941973524
0.012 0.096 0.08 332.92455473
0.012 0.098 0.01 332.932650632
0.012 0.098 0.02 332.961764545
0.012 0.098 0.03 332.916259018
0.012 0.098 0.04 332.937165256
0.012 0.098 0.05 332.925125546
0.012 0.098 0.06 332.968608392
0.012 0.098 0.07 332.93681008
0.012 0.098 0.08 332.916347319
0.012 0.1 0.01 332.911915848
0.012 0.1 0.02 332.92076627
0.012 0.1 0.03 332.933065243
0.012 0.1 0.04 332.9161342
0.012 0.1 0.05 332.908347957
0.012 0.1 0.06 332.886738709
0.012 0.1 0.07 332.917428177
0.012 0.1 0.08 332.888929723
0.012 0.102 0.01 332.867775339
0.012 0.102 0.02 332.897412568
0.012 0.102 0.03 332.901957479
0.012 0.102 0.04 332.918811683
0.012 0.102 0.05 332.917719487
0.012 0.102 0.06 332.882899731
0.012 0.102 0.07 332.884903732
0.012 0.102 0.08 332.848508056
0.012 0.104 0.01 332.80668545
0.012 0.104 0.02 332.847337244
0.012 0.104 0.03 332.849189688
0.012 0.104 0.04 332.821576476
0.012 0.104 0.05 332.815699002
0.012 0.104 0.06 332.80005162
0.012 0.104 0.07 332.763461706
0.012 0.104 0.08 332.797703547
0.012 0.106 0.01 332.735218273
0.012 0.106 0.02 332.767176702
0.012 0.106 0.03 332.712133397
0.012 0.106 0.04 332.720458567
0.012 0.106 0.05 332.756077887
0.012 0.106 0.06 332.697849762
0.012 0.106 0.07 332.764197642
0.012 0.106 0.08 332.728232531
0.012 0.108 0.01 332.657135326
0.012 0.108 0.02 332.562124349
0.012 0.108 0.03 332.647113546
0.012 0.108 0.04 332.722788337
0.012 0.108 0.05 332.659567442
0.012 0.108 0.06 332.652467371
0.012 0.108 0.07 332.668424426
0.012 0.108 0.08 332.643949731
0.012 0.11 0.01 332.574415108
0.012 0.11 0.02 332.643770211
0.012 0.11 0.03 332.546045312
0.012 0.11 0.04 332.661467667
0.012 0.11 0.05 332.611860882
0.012 0.11 0.06 332.519539729
0.012 0.11 0.07 332.553291094
0.012 0.11 0.08 332.582307656
0.012 0.112 0.01 332.400570786
0.012 0.112 0.02 332.508300452
0.012 0.112 0.03 332.533811988
0.012 0.112 0.04 332.587096111
0.012 0.112 0.05 332.457572448
0.012 0.112 0.06 332.440606701
0.012 0.112 0.07 332.464357321
0.012 0.112 0.08 332.425857007
0.012 0.114 0.01 332.243477251
0.012 0.114 0.02 332.223578273
0.012 0.114 0.03 332.302432622
0.012 0.114 0.04 332.329665063
0.012 0.114 0.05 332.33747518
0.012 0.114 0.06 332.225759331
0.012 0.114 0.07 332.207631945
0.012 0.114 0.08 332.241125365
0.012 0.116 0.01 331.551712306
0.012 0.116 0.02 331.606468218
0.012 0.116 0.03 331.628751649
0.012 0.116 0.04 331.622335831
0.012 0.116 0.05 331.652168674
0.012 0.116 0.06 331.6540409
0.012 0.116 0.07 331.672190149
0.012 0.116 0.08 331.578286252
0.012 0.118 0.01 330.50237204
0.012 0.118 0.02 330.508234897
0.012 0.118 0.03 330.390017221
0.012 0.118 0.04 330.598854519
0.012 0.118 0.05 330.585943112
0.012 0.118 0.06 330.500545995
0.012 0.118 0.07 330.557933556
0.012 0.118 0.08 330.506125467
0.012 0.12 0.01 329.527508825
0.012 0.12 0.02 329.492741948
0.012 0.12 0.03 329.569366164
0.012 0.12 0.04 329.510321651
0.012 0.12 0.05 329.550866867
0.012 0.12 0.06 329.511547758
0.012 0.12 0.07 329.509041676
0.012 0.12 0.08 329.50021625
0.012 0.122 0.01 328.707025296
0.012 0.122 0.02 328.742855753
0.012 0.122 0.03 328.749969139
0.012 0.122 0.04 328.752760703
0.012 0.122 0.05 328.75762295
0.012 0.122 0.06 328.740412907
0.012 0.122 0.07 328.730706638
0.012 0.122 0.08 328.685258903
0.012 0.124 0.01 328.11270034
0.012 0.124 0.02 328.12364695
0.012 0.124 0.03 328.091198835
0.012 0.124 0.04 328.138780374
0.012 0.124 0.05 328.098901854
0.012 0.124 0.06 328.130452246
0.012 0.124 0.07 328.143491658
0.012 0.124 0.08 328.091800766
0.012 0.126 0.01 327.670888249
0.012 0.126 0.02 327.673428891
0.012 0.126 0.03 327.656278453
0.012 0.126 0.04 327.665186784
0.012 0.126 0.05 327.67448685
0.012 0.126 0.06 327.684021016
0.012 0.126 0.07 327.669456395
0.012 0.126 0.08 327.644379331
0.012 0.128 0.01 327.3315987
0.012 0.128 0.02 327.321115926
0.012 0.128 0.03 327.320772794
0.012 0.128 0.04 327.306421056
0.012 0.128 0.05 327.3286031
0.012 0.128 0.06 327.32739058
0.012 0.128 0.07 327.338711421
0.012 0.128 0.08 327.308056344
0.012 0.13 0.01 327.075405718
0.012 0.13 0.02 327.065772448
0.012 0.13 0.03 327.073996903
0.012 0.13 0.04 327.069757967
0.012 0.13 0.05 327.072710535
0.012 0.13 0.06 327.071377815
0.012 0.13 0.07 327.066162064
0.012 0.13 0.08 327.051462162
0.012 0.132 0.01 326.873495046
0.012 0.132 0.02 326.858152813
0.012 0.132 0.03 326.878852682
0.012 0.132 0.04 326.858467071
0.012 0.132 0.05 326.880180361
0.012 0.132 0.06 326.862773868
0.012 0.132 0.07 326.859309846
0.012 0.132 0.08 326.848619776
0.012 0.134 0.01 326.716206603
0.012 0.134 0.02 326.714701944
0.012 0.134 0.03 326.720065316
0.012 0.134 0.04 326.702056913
0.012 0.134 0.05 326.715035363
0.012 0.134 0.06 326.705437724
0.012 0.134 0.07 326.705926747
0.012 0.134 0.08 326.694908007
0.012 0.136 0.01 326.590545074
0.012 0.136 0.02 326.586067334
0.012 0.136 0.03 326.596099793
0.012 0.136 0.04 326.578887974
0.012 0.136 0.05 326.582156963
0.012 0.136 0.06 326.585700846
0.012 0.136 0.07 326.581339423
0.012 0.136 0.08 326.573513511
0.012 0.138 0.01 326.488355375
0.012 0.138 0.02 326.482734169
0.012 0.138 0.03 326.488965664
0.012 0.138 0.04 326.476352078
0.012 0.138 0.05 326.483075549
0.012 0.138 0.06 326.484047333
0.012 0.138 0.07 326.480981193
0.012 0.138 0.08 326.470502404
0.012 0.14 0.01 326.40460578
0.012 0.14 0.02 326.398131768
0.012 0.14 0.03 326.400961745
0.012 0.14 0.04 326.396616534
0.012 0.14 0.05 326.401978197
0.012 0.14 0.06 326.398214723
0.012 0.14 0.07 326.395334136
0.012 0.14 0.08 326.387067725
0.012 0.142 0.01 326.331459779
0.012 0.142 0.02 326.330201152
0.012 0.142 0.03 326.324607474
0.012 0.142 0.04 326.327887969
0.012 0.142 0.05 326.337322304
0.012 0.142 0.06 326.329324131
0.012 0.142 0.07 326.325725787
0.012 0.142 0.08 326.320248415
0.012 0.144 0.01 326.269911638
0.012 0.144 0.02 326.275941623
0.012 0.144 0.03 326.266480818
0.012 0.144 0.04 326.273309737
0.012 0.144 0.05 326.280461449
0.012 0.144 0.06 326.273247044
0.012 0.144 0.07 326.269537513
0.012 0.144 0.08 326.26645477
0.012 0.146 0.01 326.222372708
0.012 0.146 0.02 326.228158769
0.012 0.146 0.03 326.218257953
0.012 0.146 0.04 326.224462277
0.012 0.146 0.05 326.239007575
0.012 0.146 0.06 326.227597529
0.012 0.146 0.07 326.2237064
0.012 0.146 0.08 326.224327366
0.012 0.148 0.01 326.185789897
0.012 0.148 0.02 326.187894987
0.012 0.148 0.03 326.182841712
0.012 0.148 0.04 326.186152788
0.012 0.148 0.05 326.197442877
0.012 0.148 0.06 326.192503315
0.012 0.148 0.07 326.184627086
0.012 0.148 0.08 326.189412436
0.012 0.15 0.01 326.155720738
0.012 0.15 0.02 326.1573789
0.012 0.15 0.03 326.155392606
0.012 0.15 0.04 326.1545476
0.012 0.15 0.05 326.162576589
0.012 0.15 0.06 326.159150406
0.012 0.15 0.07 326.156536522
0.012 0.15 0.08 326.161048917
0.012 0.152 0.01 326.1327426
0.012 0.152 0.02 326.132484761
0.012 0.152 0.03 326.130875569
0.012 0.152 0.04 326.126309034
0.012 0.152 0.05 326.133502285
0.012 0.152 0.06 326.132112208
0.012 0.152 0.07 326.134906889
0.012 0.152 0.08 326.137573325
0.012 0.154 0.01 326.116881607
0.012 0.154 0.02 326.11523526
0.012 0.154 0.03 326.109844292
0.012 0.154 0.04 326.102599876
0.012 0.154 0.05 326.110947248
0.012 0.154 0.06 326.110845133
0.012 0.154 0.07 326.117357842
0.012 0.154 0.08 326.120346067
0.012 0.156 0.01 326.106167612
0.012 0.156 0.02 326.101332863
0.012 0.156 0.03 326.095578402
0.012 0.156 0.04 326.086504322
0.012 0.156 0.05 326.092175074
0.012 0.156 0.06 326.097385994
0.012 0.156 0.07 326.103726337
0.012 0.156 0.08 326.109145424
0.012 0.158 0.01 326.102399443
0.012 0.158 0.02 326.091910877
0.012 0.158 0.03 326.088472507
0.012 0.158 0.04 326.076948668
0.012 0.158 0.05 326.077236497
0.012 0.158 0.06 326.088424262
0.012 0.158 0.07 326.096484558
0.012 0.158 0.08 326.100734513
0.012 0.16 0.01 326.103006338
0.012 0.16 0.02 326.086980527
0.012 0.16 0.03 326.085650202
0.012 0.16 0.04 326.073498804
0.012 0.16 0.05 326.073249543
0.012 0.16 0.06 326.085630031
0.012 0.16 0.07 326.09434642
0.012 0.16 0.08 326.099091489
0.014 0.01 0.01 324.535213213
0.014 0.01 0.02 324.510259692
0.014 0.01 0.03 324.507940771
0.014 0.01 0.04 324.499861039
0.014 0.01 0.05 324.532469028
0.014 0.01 0.06 324.514706588
0.014 0.01 0.07 324.515131862
0.014 0.01 0.08 324.485848745
0.014 0.012 0.01 324.535466224
0.014 0.012 0.02 324.516872218
0.014 0.012 0.03 324.508095528
0.014 0.012 0.04 324.502292781
0.014 0.012 0.05 324.538875047
0.014 0.012 0.06 324.520881077
0.014 0.012 0.07 324.519001127
0.014 0.012 0.08 324.48877272
0.014 0.014 0.01 324.541496437
0.014 0.014 0.02 324.525462769
0.014 0.014 0.03 324.514423715
0.014 0.014 0.04 324.509754571
0.014 0.014 0.05 324.54658903
0.014 0.014 0.06 324.528406266
0.014 0.014 0.07 324.52811207
0.014 0.014 0.08 324.497380208
0.014 0.016 0.01 324.548619465
0.014 0.016 0.02 324.536863313
0.014 0.016 0.03 324.526710642
0.014 0.016 0.04 324.523434411
0.014 0.016 0.05 324.560724255
0.014 0.016 0.06 324.539852348
0.014 0.016 0.07 324.538853164
0.014 0.016 0.08 324.513180679
0.014 0.018 0.01 324.560365022
0.014 0.018 0.02 324.549716678
0.014 0.018 0.03 324.545194706
0.014 0.018 0.04 324.544959613
0.014 0.018 0.05 324.580622348
0.014 0.018 0.06 324.55864131
0.014 0.018 0.07 324.556692853
0.014 0.018 0.08 324.538331852
0.014 0.02 0.01 324.581118952
0.014 0.02 0.02 324.567543231
0.014 0.02 0.03 324.569315884
0.014 0.02 0.04 324.573765046
0.014 0.02 0.05 324.604255166
0.014 0.02 0.06 324.58549218
0.014 0.02 0.07 324.584020136
0.014 0.02 0.08 324.569094353
0.014 0.022 0.01 324.615823876
0.014 0.022 0.02 324.596900685
0.014 0.022 0.03 324.602090035
0.014 0.022 0.04 324.612895933
0.014 0.022 0.05 324.634069165
0.014 0.022 0.06 324.621714824
0.014 0.022 0.07 324.618364081
0.014 0.022 0.08 324.605331185
0.014 0.024 0.01 324.660225451
0.014 0.024 0.02 324.644815454
0.014 0.024 0.03 324.644826533
0.014 0.024 0.04 324.659882806
0.014 0.024 0.05 324.673671326
0.014 0.024 0.06 324.666959108
0.014 0.024 0.07 324.658729051
0.014 0.024 0.08 324.647971576
0.014 0.026 0.01 324.712176139
0.014 0.026 0.02 324.702469717
0.014 0.026 0.03 324.696984837
0.014 0.026 0.04 324.714095625
0.014 0.026 0.05 324.726244861
0.014 0.026 0.06 324.717894717
0.014 0.026 0.07 324.711496754
0.014 0.026 0.08 324.700167903
0.014 0.028 0.01 324.777018378
0.014 0.028 0.02 324.775025492
0.014 0.028 0.03 324.765514884
0.014 0.028 0.04 324.782627531
0.014 0.028 0.05 324.793105874
0.014 0.028 0.06 324.782889009
0.014 0.028 0.07 324.780068951
0.014 0.028 0.08 324.767192621
0.014 0.03 0.01 324.856151897
0.014 0.03 0.02 324.866181171
0.014 0.03 0.03 324.858030263
0.014 0.03 0.04 324.870666143
0.014 0.03 0.05 324.876007829
0.014 0.03 0.06 324.868631313
0.014 0.03 0.07 324.863890651
0.014 0.03 0.08 324.853095029
0.014 0.032 0.01 324.953705406
0.014 0.032 0.02 324.975682389
0.014 0.032 0.03 324.972189663
0.014 0.032 0.04 324.984073986
0.014 0.032 0.05 324.978817295
0.014 0.032 0.06 324.97758109
0.014 0.032 0.07 324.974459718
0.014 0.032 0.08 324.960049578
0.014 0.034 0.01 325.080826655
0.014 0.034 0.02 325.112814819
0.014 0.034 0.03 325.113647407
0.014 0.034 0.04 325.122374283
0.014 0.034 0.05 325.114423383
0.014 0.034 0.06 325.118311846
0.014 0.034 0.07 325.10225007
0.014 0.034 0.08 325.096023353
0.014 0.036 0.01 325.251108236
0.014 0.036 0.02 325.288973097
0.014 0.036 0.03 325.287222365
0.014 0.036 0.04 325.300639889
0.014 0.036 0.05 325.286264184
0.014 0.036 0.06 325.299908449
0.014 0.036 0.07 325.281808858
0.014 0.036 0.08 325.268822011
0.014 0.038 0.01 325.477103659
0.014 0.038 0.02 325.509008611
0.014 0.038 0.03 325.509092346
0.014 0.038 0.04 325.515803188
0.014 0.038 0.05 325.509006445
0.014 0.038 0.06 325.538110955
0.014 0.038 0.07 325.504762484
0.014 0.038 0.08 325.492275387
0.014 0.04 0.01 325.765056633
0.014 0.04 0.02 325.800526754
0.014 0.04 0.03 325.792257146
0.014 0.04 0.04 325.813644324
0.014 0.04 0.05 325.796960755
0.014 0.04 0.06 325.801550185
0.014 0.04 0.07 325.780009001
0.014 0.04 0.08 325.771562271
0.014 0.042 0.01 326.126339192
0.014 0.042 0.02 326.151829689
0.014 0.042 0.03 326.15584004
0.014 0.042 0.04 326.170566188
0.014 0.042 0.05 326.153348457
0.014 0.042 0.06 326.154960831
0.014 0.042 0.07 326.153315977
0.014 0.042 0.08 326.125208658
0.014 0.044 0.01 326.590665022
0.014 0.044 0.02 326.62181053
0.014 0.044 0.03 326.627587454
0.014 0.044 0.04 326.644994579
0.014 0.044 0.05 326.590329146
0.014 0.044 0.06 326.621635245
0.014 0.044 0.07 326.600034751
0.014 0.044 0.08 326.584994475
0.014 0.046 0.01 327.181276167
0.014 0.046 0.02 327.206232017
0.014 0.046 0.03 327.206549202
0.014 0.046 0.04 327.243582793
0.014 0.046 0.05 327.19695562
0.014 0.046 0.06 327.223105325
0.014 0.046 0.07 327.225166396
0.014 0.046 0.08 327.171596496
0.014 0.048 0.01 327.936276729
0.014 0.048 0.02 327.974007952
0.014 0.048 0.03 327.984916965
0.014 0.048 0.04 327.993802277
0.014 0.048 0.05 327.986475526
0.014 0.048 0.06 327.986591861
0.014 0.048 0.07 327.960144511
0.014 0.048 0.08 327.907249593
0.014 0.05 0.01 328.841188256
0.014 0.05 0.02 328.878096683
0.014 0.05 0.03 328.911150851
0.014 0.05 0.04 328.887162869
0.014 0.05 0.05 328.869887518
0.014 0.05 0.06 328.895154216
0.014 0.05 0.07 328.906531071
0.014 0.05 0.08 328.793867134
0.014 0.052 0.01 329.932738119
0.014 0.052 0.02 329.998009944
0.014 0.052 0.03 329.983734685
0.014 0.052 0.04 329.999903453
0.014 0.052 0.05 329.996558476
0.014 0.052 0.06 329.957989897
0.014 0.052 0.07 329.953840787
0.014 0.052 0.08 329.877692053
0.014 0.054 0.01 331.018150787
0.014 0.054 0.02 331.075018797
0.014 0.054 0.03 331.026989387
0.014 0.054 0.04 330.961702927
0.014 0.054 0.05 331.02599421
0.014 0.054 0.06 331.013510096
0.014 0.054 0.07 331.078061937
0.014 0.054 0.08 330.954400611
0.014 0.056 0.01 331.941683195
0.014 0.056 0.02 331.983670614
0.014 0.056 0.03 331.964723542
0.014 0.056 0.04 332.006071023
0.014 0.056 0.05 331.956617705
0.014 0.056 0.06 331.986531803
0.014 0.056 0.07 331.995042056
0.014 0.056 0.08 331.894536613
0.014 0.058 0.01 332.653561569
0.014 0.058 0.02 332.57975757
0.014 0.058 0.03 332.554983452
0.014 0.058 0.04 332.674377346
0.014 0.058 0.05 332.690204742
0.014 0.058 0.06 332.64775509
0.014 0.058 0.07 332.621234328
0.014 0.058 0.08 332.615109803
0.014 0.06 0.01 332.91324136
0.014 0.06 0.02 332.94147875
0.014 0.06 0.03 332.962670286
0.014 0.06 0.04 332.962739201
0.014 0.06 0.05 333.021033625
0.014 0.06 0.06 332.974161671
0.014 0.06 0.07 332.994867303
0.014 0.06 0.08 332.880280259
0.014 0.062 0.01 333.138669293
0.014 0.062 0.02 333.197224017
0.014 0.062 0.03 333.227241231
0.014 0.062 0.04 333.190418211
0.014 0.062 0.05 333.263070463
0.014 0.062 0.06 333.148212465
0.014 0.062 0.07 333.217448344
0.014 0.062 0.08 333.099297429
0.014 0.064 0.01 333.251354773
0.014 0.064 0.02 333.35794851
0.014 0.064 0.03 333.339607904
0.014 0.064 0.04 333.365822519
0.014 0.064 0.05 333.269074375
0.014 0.064 0.06 333.254831629
0.014 0.064 0.07 333.305519857
0.014 0.064 0.08 333.213021138
0.014 0.066 0.01 333.297502404
0.014 0.066 0.02 333.383984956
0.014 0.066 0.03 333.37953313
0.014 0.066 0.04 333.406336526
0.014 0.066 0.05 333.388861393
0.014 0.066 0.06 333.334487006
0.014 0.066 0.07 333.386491716
0.014 0.066 0.08 333.258611133
0.014 0.068 0.01 333.304865016
0.014 0.068 0.02 333.336637962
0.014 0.068 0.03 333.329719425
0.014 0.068 0.04 333.342715754
0.014 0.068 0.05 333.428109743
0.014 0.068 0.06 333.313610706
0.014 0.068 0.07 333.401125495
0.014 0.068 0.08 333.265749
0.014 0.07 0.01 333.296585029
0.014 0.07 0.02 333.382491558
0.014 0.07 0.03 333.385404867
0.014 0.07 0.04 333.355805128
0.014 0.07 0.05 333.388175718
0.014 0.07 0.06 333.271962899
0.014 0.07 0.07 333.330608718
0.014 0.07 0.08 333.258013386
0.014 0.072 0.01 333.282481563
0.014 0.072 0.02 333.311455367
0.014 0.072 0.03 333.369794342
0.014 0.072 0.04 333.261601936
0.014 0.072 0.05 333.317713637
0.014 0.072 0.06 333.347249937
0.014 0.072 0.07 333.310729596
0.014 0.072 0.08 333.25403188
0.014 0.074 0.01 333.282993275
0.014 0.074 0.02 333.355915701
0.014 0.074 0.03 333.343825344
0.014 0.074 0.04 333.340023347
0.014 0.074 0.05 333.353716355
0.014 0.074 0.06 333.236892113
0.014 0.074 0.07 333.335096358
0.014 0.074 0.08 333.261230189
0.014 0.076 0.01 333.304722867
0.014 0.076 0.02 333.387370387
0.014 0.076 0.03 333.404392175
0.014 0.076 0.04 333.388607196
0.014 0.076 0.05 333.351269618
0.014 0.076 0.06 333.336603223
0.014 0.076 0.07 333.37125947
0.014 0.076 0.08 333.288056066
0.014 0.078 0.01 333.354299952
0.014 0.078 0.02 333.309039349
0.014 0.078 0.03 333.426348181
0.014 0.078 0.04 333.448318378
0.014 0.078 0.05 333.447494058
0.014 0.078 0.06 333.422342222
0.014 0.078 0.07 333.37606527
0.014 0.078 0.08 333.335800508
0.014 0.08 0.01 333.423622865
0.014 0.08 0.02 333.516540107
0.014 0.08 0.03 333.366187991
0.014 0.08 0.04 333.476162425
0.014 0.08 0.05 333.483143849
0.014 0.08 0.06 333.463123767
0.014 0.08 0.07 333.508686497
0.014 0.08 0.08 333.405439719
0.014 0.082 0.01 333.515732875
0.014 0.082 0.02 333.611059187
0.014 0.082 0.03 333.563232275
0.014 0.082 0.04 333.551062014
0.014 0.082 0.05 333.617893183
0.014 0.082 0.06 333.492980096
0.014 0.082 0.07 333.510763078
0.014 0.082 0.08 333.495156573
0.014 0.084 0.01 333.620346881
0.014 0.084 0.02 333.649524283
0.014 0.084 0.03 333.65172087
0.014 0.084 0.04 333.617116876
0.014 0.084 0.05 333.668994133
0.014 0.084 0.06 333.65199807
0.014 0.084 0.07 333.641535701
0.014 0.084 0.08 333.603835902
0.014 0.086 0.01 333.735919421
0.014 0.086 0.02 333.783227361
0.014 0.086 0.03 333.795515619
0.014 0.086 0.04 333.8287871
0.014 0.086 0.05 333.793939037
0.014 0.086 0.06 333.791795151
0.014 0.086 0.07 333.834548838
0.014 0.086 0.08 333.725736824
0.014 0.088 0.01 333.855692462
0.014 0.088 0.02 333.946929539
0.014 0.088 0.03 333.93627097
0.014 0.088 0.04 333.9287362
0.014 0.088 0.05 333.933487647
0.014 0.088 0.06 333.947795709
0.014 0.088 0.07 333.903146476
0.014 0.088 0.08 333.860284782
0.014 0.09 0.01 333.982897515
0.014 0.09 0.02 334.072030578
0.014 0.09 0.03 334.061247409
0.014 0.09 0.04 334.081186629
0.014 0.09 0.05 334.073826467
0.014 0.09 0.06 334.092254174
0.014 0.09 0.07 334.01620151
0.014 0.09 0.08 333.983357831
0.014 0.092 0.01 334.088497194
0.014 0.092 0.02 334.14716102
0.014 0.092 0.03 334.188924237
0.014 0.092 0.04 334.119071746
0.014 0.092 0.05 334.134112121
0.014 0.092 0.06 334.162916529
0.014 0.092 0.07 334.165057018
