idxcell,idycell,idzcell,Temperature
1,1,1,295.0
1,2,1,295.3448275862069
1,3,1,295.6896551724138
1,4,1,296.0344827586207
1,5,1,296.37931034482756
1,6,1,296.7241379310345
1,7,1,297.0689655172414
1,8,1,297.41379310344826
1,9,1,297.7586206896552
1,10,1,298.1034482758621
1,11,1,298.44827586206895
1,12,1,298.7931034482759
1,13,1,299.13793103448273
1,14,1,299.48275862068965
1,15,1,299.82758620689657
1,16,1,300.17241379310343
1,17,1,300.51724137931035
1,18,1,300.86206896551727
1,19,1,301.2068965517241
1,20,1,301.55172413793105
1,21,1,301.8965517241379
1,22,1,302.2413793103448
1,23,1,302.58620689655174
1,24,1,302.9310344827586
1,25,1,303.2758620689655
1,26,1,303.62068965517244
1,27,1,303.9655172413793
1,28,1,304.3103448275862
1,29,1,304.6551724137931
1,30,1,305.0
