idxcell,idycell,idzcell,Temperature
1,1,1,368.0
1,2,1,368.4761904761905
1,3,1,368.95238095238096
1,4,1,369.42857142857144
1,5,1,369.9047619047619
1,6,1,370.3809523809524
1,7,1,370.85714285714283
1,8,1,371.3333333333333
1,9,1,371.8095238095238
1,10,1,372.2857142857143
1,11,1,372.76190476190476
1,12,1,373.23809523809524
1,13,1,373.7142857142857
1,14,1,374.1904761904762
1,15,1,374.6666666666667
1,16,1,375.14285714285717
1,17,1,375.6190476190476
1,18,1,376.0952380952381
1,19,1,376.57142857142856
1,20,1,377.04761904761904
1,21,1,377.5238095238095
1,22,1,378.0
