idxcell,idycell,idzcell,Temperature
1,1,1,295.0
1,2,1,295.01727115716756
1,3,1,295.03454231433506
1,4,1,295.0518134715026
1,5,1,295.0690846286701
1,6,1,295.08635578583767
1,7,1,295.10362694300517
1,8,1,295.1208981001727
1,9,1,295.1381692573402
1,10,1,295.1554404145078
1,11,1,295.1727115716753
1,12,1,295.18998272884284
1,13,1,295.20725388601034
1,14,1,295.2245250431779
1,15,1,295.24179620034545
1,16,1,295.25906735751295
1,17,1,295.2763385146805
1,18,1,295.293609671848
1,19,1,295.31088082901556
1,20,1,295.32815198618306
1,21,1,295.3454231433506
1,22,1,295.3626943005181
1,23,1,295.37996545768567
1,24,1,295.39723661485317
1,25,1,295.4145077720207
1,26,1,295.4317789291883
1,27,1,295.4490500863558
1,28,1,295.46632124352334
1,29,1,295.48359240069084
1,30,1,295.5008635578584
1,31,1,295.5181347150259
1,32,1,295.53540587219345
1,33,1,295.55267702936095
1,34,1,295.5699481865285
1,35,1,295.587219343696
1,36,1,295.60449050086356
1,37,1,295.62176165803106
1,38,1,295.6390328151986
1,39,1,295.6563039723662
1,40,1,295.6735751295337
1,41,1,295.69084628670123
1,42,1,295.70811744386873
1,43,1,295.7253886010363
1,44,1,295.7426597582038
1,45,1,295.75993091537134
1,46,1,295.77720207253884
1,47,1,295.7944732297064
1,48,1,295.8117443868739
1,49,1,295.82901554404145
1,50,1,295.84628670120895
1,51,1,295.8635578583765
1,52,1,295.88082901554407
1,53,1,295.89810017271157
1,54,1,295.9153713298791
1,55,1,295.9326424870466
1,56,1,295.9499136442142
1,57,1,295.9671848013817
1,58,1,295.98445595854923
1,59,1,296.00172711571673
1,60,1,296.0189982728843
1,61,1,296.0362694300518
1,62,1,296.05354058721935
1,63,1,296.0708117443869
1,64,1,296.0880829015544
1,65,1,296.10535405872196
1,66,1,296.12262521588946
1,67,1,296.139896373057
1,68,1,296.1571675302245
1,69,1,296.17443868739207
1,70,1,296.19170984455957
1,71,1,296.2089810017271
1,72,1,296.2262521588946
1,73,1,296.2435233160622
1,74,1,296.2607944732297
1,75,1,296.27806563039724
1,76,1,296.2953367875648
1,77,1,296.3126079447323
1,78,1,296.32987910189985
1,79,1,296.34715025906735
1,80,1,296.3644214162349
1,81,1,296.3816925734024
1,82,1,296.39896373056996
1,83,1,296.41623488773746
1,84,1,296.433506044905
1,85,1,296.4507772020725
1,86,1,296.4680483592401
1,87,1,296.48531951640757
1,88,1,296.5025906735751
1,89,1,296.5198618307427
1,90,1,296.5371329879102
1,91,1,296.55440414507774
1,92,1,296.57167530224524
1,93,1,296.5889464594128
1,94,1,296.6062176165803
1,95,1,296.62348877374785
1,96,1,296.64075993091535
1,97,1,296.6580310880829
1,98,1,296.6753022452504
1,99,1,296.69257340241796
1,100,1,296.7098445595855
1,101,1,296.727115716753
1,102,1,296.7443868739206
1,103,1,296.7616580310881
1,104,1,296.77892918825563
1,105,1,296.79620034542313
1,106,1,296.8134715025907
1,107,1,296.8307426597582
1,108,1,296.84801381692574
1,109,1,296.86528497409324
1,110,1,296.8825561312608
1,111,1,296.8998272884283
1,112,1,296.91709844559585
1,113,1,296.9343696027634
1,114,1,296.9516407599309
1,115,1,296.96891191709847
1,116,1,296.98618307426597
1,117,1,297.0034542314335
1,118,1,297.020725388601
1,119,1,297.0379965457686
1,120,1,297.0552677029361
1,121,1,297.07253886010363
1,122,1,297.08981001727113
1,123,1,297.1070811744387
1,124,1,297.1243523316062
1,125,1,297.14162348877375
1,126,1,297.1588946459413
1,127,1,297.1761658031088
1,128,1,297.19343696027636
1,129,1,297.21070811744386
1,130,1,297.2279792746114
1,131,1,297.2452504317789
1,132,1,297.26252158894647
1,133,1,297.27979274611397
1,134,1,297.2970639032815
1,135,1,297.314335060449
1,136,1,297.3316062176166
1,137,1,297.34887737478414
1,138,1,297.36614853195164
1,139,1,297.3834196891192
1,140,1,297.4006908462867
1,141,1,297.41796200345425
1,142,1,297.43523316062175
1,143,1,297.4525043177893
1,144,1,297.4697754749568
1,145,1,297.48704663212436
1,146,1,297.50431778929186
1,147,1,297.5215889464594
1,148,1,297.5388601036269
1,149,1,297.5561312607945
1,150,1,297.57340241796203
1,151,1,297.59067357512953
1,152,1,297.6079447322971
1,153,1,297.6252158894646
1,154,1,297.64248704663214
1,155,1,297.65975820379964
1,156,1,297.6770293609672
1,157,1,297.6943005181347
1,158,1,297.71157167530225
1,159,1,297.72884283246975
