idxcell,idycell,idzcell,Temperature
1,1,1,353.0
1,2,1,354.37931034482756
1,3,1,355.7586206896552
1,4,1,357.13793103448273
1,5,1,358.51724137931035
1,6,1,359.8965517241379
1,7,1,361.2758620689655
1,8,1,362.6551724137931
1,9,1,364.0344827586207
1,10,1,365.41379310344826
1,11,1,366.7931034482759
1,12,1,368.17241379310343
1,13,1,369.55172413793105
1,14,1,370.9310344827586
1,15,1,372.3103448275862
1,16,1,373.6896551724138
1,17,1,375.0689655172414
1,18,1,376.44827586206895
1,19,1,377.82758620689657
1,20,1,379.2068965517241
1,21,1,380.58620689655174
1,22,1,381.9655172413793
1,23,1,383.3448275862069
1,24,1,384.7241379310345
1,25,1,386.1034482758621
1,26,1,387.48275862068965
1,27,1,388.8620689655172
1,28,1,390.2413793103448
1,29,1,391.62068965517244
1,30,1,393.0
