idxcell,idycell,idzcell,Temperature
1,1,1,290.0
1,2,1,290.6896551724138
1,3,1,291.37931034482756
1,4,1,292.0689655172414
1,5,1,292.7586206896552
1,6,1,293.44827586206895
1,7,1,294.13793103448273
1,8,1,294.82758620689657
1,9,1,295.51724137931035
1,10,1,296.2068965517241
1,11,1,296.8965517241379
1,12,1,297.58620689655174
1,13,1,298.2758620689655
1,14,1,298.9655172413793
1,15,1,299.6551724137931
1,16,1,300.3448275862069
1,17,1,301.0344827586207
1,18,1,301.7241379310345
1,19,1,302.41379310344826
1,20,1,303.1034482758621
1,21,1,303.7931034482759
1,22,1,304.48275862068965
1,23,1,305.17241379310343
1,24,1,305.86206896551727
1,25,1,306.55172413793105
1,26,1,307.2413793103448
1,27,1,307.9310344827586
1,28,1,308.62068965517244
1,29,1,309.3103448275862
1,30,1,310.0
