idxcell,idycell,idzcell,Temperature
1,1,1,318.0
1,2,1,318.3448275862069
1,3,1,318.6896551724138
1,4,1,319.0344827586207
1,5,1,319.37931034482756
1,6,1,319.7241379310345
1,7,1,320.0689655172414
1,8,1,320.41379310344826
1,9,1,320.7586206896552
1,10,1,321.1034482758621
1,11,1,321.44827586206895
1,12,1,321.7931034482759
1,13,1,322.13793103448273
1,14,1,322.48275862068965
1,15,1,322.82758620689657
1,16,1,323.17241379310343
1,17,1,323.51724137931035
1,18,1,323.86206896551727
1,19,1,324.2068965517241
1,20,1,324.55172413793105
1,21,1,324.8965517241379
1,22,1,325.2413793103448
1,23,1,325.58620689655174
1,24,1,325.9310344827586
1,25,1,326.2758620689655
1,26,1,326.62068965517244
1,27,1,326.9655172413793
1,28,1,327.3103448275862
1,29,1,327.6551724137931
1,30,1,328.0
