idxcell,idycell,idzcell,Temperature
1,1,1,368.0
1,2,1,368.3448275862069
1,3,1,368.6896551724138
1,4,1,369.0344827586207
1,5,1,369.37931034482756
1,6,1,369.7241379310345
1,7,1,370.0689655172414
1,8,1,370.41379310344826
1,9,1,370.7586206896552
1,10,1,371.1034482758621
1,11,1,371.44827586206895
1,12,1,371.7931034482759
1,13,1,372.13793103448273
1,14,1,372.48275862068965
1,15,1,372.82758620689657
1,16,1,373.17241379310343
1,17,1,373.51724137931035
1,18,1,373.86206896551727
1,19,1,374.2068965517241
1,20,1,374.55172413793105
1,21,1,374.8965517241379
1,22,1,375.2413793103448
1,23,1,375.58620689655174
1,24,1,375.9310344827586
1,25,1,376.2758620689655
1,26,1,376.62068965517244
1,27,1,376.9655172413793
1,28,1,377.3103448275862
1,29,1,377.6551724137931
1,30,1,378.0
