idxcell,idycell,idzcell,Temperature
1,1,1,318.0
1,2,1,318.14084507042253
1,3,1,318.28169014084506
1,4,1,318.4225352112676
1,5,1,318.5633802816901
1,6,1,318.7042253521127
1,7,1,318.84507042253523
1,8,1,318.98591549295776
1,9,1,319.1267605633803
1,10,1,319.2676056338028
1,11,1,319.40845070422534
1,12,1,319.5492957746479
1,13,1,319.6901408450704
1,14,1,319.83098591549293
1,15,1,319.9718309859155
1,16,1,320.11267605633805
1,17,1,320.2535211267606
1,18,1,320.3943661971831
1,19,1,320.53521126760563
1,20,1,320.67605633802816
1,21,1,320.8169014084507
1,22,1,320.9577464788732
1,23,1,321.09859154929575
1,24,1,321.23943661971833
1,25,1,321.38028169014086
1,26,1,321.5211267605634
1,27,1,321.6619718309859
1,28,1,321.80281690140845
1,29,1,321.943661971831
1,30,1,322.0845070422535
1,31,1,322.22535211267603
1,32,1,322.3661971830986
1,33,1,322.50704225352115
1,34,1,322.6478873239437
1,35,1,322.7887323943662
1,36,1,322.92957746478874
1,37,1,323.07042253521126
1,38,1,323.2112676056338
1,39,1,323.3521126760563
1,40,1,323.49295774647885
1,41,1,323.6338028169014
1,42,1,323.77464788732397
1,43,1,323.9154929577465
1,44,1,324.056338028169
1,45,1,324.19718309859155
1,46,1,324.3380281690141
1,47,1,324.4788732394366
1,48,1,324.61971830985914
1,49,1,324.76056338028167
1,50,1,324.90140845070425
1,51,1,325.0422535211268
1,52,1,325.1830985915493
1,53,1,325.32394366197184
1,54,1,325.46478873239437
1,55,1,325.6056338028169
1,56,1,325.7464788732394
1,57,1,325.88732394366195
1,58,1,326.0281690140845
1,59,1,326.16901408450707
1,60,1,326.3098591549296
1,61,1,326.4507042253521
1,62,1,326.59154929577466
1,63,1,326.7323943661972
1,64,1,326.8732394366197
1,65,1,327.01408450704224
1,66,1,327.15492957746477
1,67,1,327.2957746478873
1,68,1,327.4366197183099
1,69,1,327.5774647887324
1,70,1,327.71830985915494
1,71,1,327.85915492957747
1,72,1,328.0
