idxcell,idycell,idzcell,Temperature
1,1,1,323.0
1,2,1,326.44827586206895
1,3,1,329.8965517241379
1,4,1,333.3448275862069
1,5,1,336.7931034482759
1,6,1,340.2413793103448
1,7,1,343.6896551724138
1,8,1,347.13793103448273
1,9,1,350.58620689655174
1,10,1,354.0344827586207
1,11,1,357.48275862068965
1,12,1,360.9310344827586
1,13,1,364.37931034482756
1,14,1,367.82758620689657
1,15,1,371.2758620689655
1,16,1,374.7241379310345
1,17,1,378.17241379310343
1,18,1,381.62068965517244
1,19,1,385.0689655172414
1,20,1,388.51724137931035
1,21,1,391.9655172413793
1,22,1,395.41379310344826
1,23,1,398.8620689655172
1,24,1,402.3103448275862
1,25,1,405.7586206896552
1,26,1,409.2068965517241
1,27,1,412.65517241379314
1,28,1,416.1034482758621
1,29,1,419.55172413793105
1,30,1,423.0
