idxcell,idycell,idzcell,Temperature
1,1,1,363.0
1,2,1,363.6896551724138
1,3,1,364.37931034482756
1,4,1,365.0689655172414
1,5,1,365.7586206896552
1,6,1,366.44827586206895
1,7,1,367.13793103448273
1,8,1,367.82758620689657
1,9,1,368.51724137931035
1,10,1,369.2068965517241
1,11,1,369.8965517241379
1,12,1,370.58620689655174
1,13,1,371.2758620689655
1,14,1,371.9655172413793
1,15,1,372.6551724137931
1,16,1,373.3448275862069
1,17,1,374.0344827586207
1,18,1,374.7241379310345
1,19,1,375.41379310344826
1,20,1,376.1034482758621
1,21,1,376.7931034482759
1,22,1,377.48275862068965
1,23,1,378.17241379310343
1,24,1,378.86206896551727
1,25,1,379.55172413793105
1,26,1,380.2413793103448
1,27,1,380.9310344827586
1,28,1,381.62068965517244
1,29,1,382.3103448275862
1,30,1,383.0
