idxcell,idycell,idzcell,Temperature
1,1,1,313.0
1,2,1,313.6896551724138
1,3,1,314.37931034482756
1,4,1,315.0689655172414
1,5,1,315.7586206896552
1,6,1,316.44827586206895
1,7,1,317.13793103448273
1,8,1,317.82758620689657
1,9,1,318.51724137931035
1,10,1,319.2068965517241
1,11,1,319.8965517241379
1,12,1,320.58620689655174
1,13,1,321.2758620689655
1,14,1,321.9655172413793
1,15,1,322.6551724137931
1,16,1,323.3448275862069
1,17,1,324.0344827586207
1,18,1,324.7241379310345
1,19,1,325.41379310344826
1,20,1,326.1034482758621
1,21,1,326.7931034482759
1,22,1,327.48275862068965
1,23,1,328.17241379310343
1,24,1,328.86206896551727
1,25,1,329.55172413793105
1,26,1,330.2413793103448
1,27,1,330.9310344827586
1,28,1,331.62068965517244
1,29,1,332.3103448275862
1,30,1,333.0
