idxcell,idycell,idzcell,Temperature
1,1,1,250.0
1,2,1,253.44827586206895
1,3,1,256.8965517241379
1,4,1,260.3448275862069
1,5,1,263.7931034482759
1,6,1,267.2413793103448
1,7,1,270.6896551724138
1,8,1,274.13793103448273
1,9,1,277.58620689655174
1,10,1,281.0344827586207
1,11,1,284.48275862068965
1,12,1,287.9310344827586
1,13,1,291.37931034482756
1,14,1,294.82758620689657
1,15,1,298.2758620689655
1,16,1,301.7241379310345
1,17,1,305.17241379310343
1,18,1,308.62068965517244
1,19,1,312.0689655172414
1,20,1,315.51724137931035
1,21,1,318.9655172413793
1,22,1,322.41379310344826
1,23,1,325.8620689655172
1,24,1,329.3103448275862
1,25,1,332.7586206896552
1,26,1,336.2068965517241
1,27,1,339.65517241379314
1,28,1,343.1034482758621
1,29,1,346.55172413793105
1,30,1,350.0
